File Name,Model,Dataset,Accept Fn,Select Fn,Reverse Type,Initial Accuracy,Final Accuracy,Initial Loss,Final Loss
greedy_gat_citeseer_constant_attacked_results.pkl,GAT,CITESEER,CONSTANT,NONE,ATTACKED,0.669,0.666,1.69743,1.6752
greedy_gat_citeseer_constant_reversed_results.pkl,GAT,CITESEER,CONSTANT,NONE,REVERSED,0.669,0.666,1.69743,1.6752
greedy_gat_citeseer_increasing_reversed_results.pkl,GAT,CITESEER,INCREASING,NONE,REVERSED,0.669,0.667,1.69743,1.67653
greedy_gat_cora_constant_attacked_results.pkl,GAT,CORA,CONSTANT,NONE,ATTACKED,0.779,0.767,0.90027,0.93048
greedy_gat_cora_constant_reversed_results.pkl,GAT,CORA,CONSTANT,NONE,REVERSED,0.779,0.767,0.90027,0.93048
greedy_gat_cora_increasing_reversed_results.pkl,GAT,CORA,INCREASING,NONE,REVERSED,0.779,0.769,0.90027,0.91937
greedy_gcn_citeseer_constant_attacked_results.pkl,GCN,CITESEER,CONSTANT,NONE,ATTACKED,0.581,0.565,3.92137,3.99056
greedy_gcn_citeseer_constant_reversed_results.pkl,GCN,CITESEER,CONSTANT,NONE,REVERSED,0.581,0.565,3.92137,3.99095
greedy_gcn_citeseer_increasing_reversed_results.pkl,GCN,CITESEER,INCREASING,NONE,REVERSED,0.581,0.569,3.92137,3.97252
greedy_gcn_cora_constant_attacked_results.pkl,GCN,CORA,CONSTANT,NONE,ATTACKED,0.759,0.768,1.91192,1.94104
greedy_gcn_cora_constant_reversed_results.pkl,GCN,CORA,CONSTANT,NONE,REVERSED,0.759,0.768,1.91192,1.94104
greedy_gcn_cora_increasing_reversed_results.pkl,GCN,CORA,INCREASING,NONE,REVERSED,0.759,0.765,1.91192,1.9172
greedy_gsage_citeseer_constant_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,NONE,ATTACKED,0.654,0.647,1.49537,1.50577
greedy_gsage_citeseer_constant_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,NONE,REVERSED,0.654,0.647,1.49537,1.50577
greedy_gsage_citeseer_increasing_reversed_results.pkl,GSAGE,CITESEER,INCREASING,NONE,REVERSED,0.654,0.651,1.49537,1.50901
greedy_gsage_cora_constant_attacked_results.pkl,GSAGE,CORA,CONSTANT,NONE,ATTACKED,0.804,0.8,0.7111,0.70984
greedy_gsage_cora_constant_reversed_results.pkl,GSAGE,CORA,CONSTANT,NONE,REVERSED,0.804,0.8,0.7111,0.70984
greedy_gsage_cora_increasing_reversed_results.pkl,GSAGE,CORA,INCREASING,NONE,REVERSED,0.804,0.803,0.7111,0.71167
